stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ms_small,0.741,0.2,False,None,0,43,43,43,166.21254009997938,None,166.3959614999767,166.44586989999516,167.12915429999703,167.17969279998215,space,0.9401644000026863,167.12915429999703,None,168.0978854999994,None,168.0978854999994,168.14744079997763,space,0.7012852000189014,168.0978854999994,None,None,None,ms_small,168.83196179999504,168.89527489998727,168.83196179999504,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.67,0.3,False,None,0,44,44,44,169.34529060000204,None,169.62858679998317,169.67862419999437,170.29468679998536,170.34471340000164,space,0.9252725999976974,170.29468679998536,None,171.24821409999277,None,171.24821409999277,171.31157540000277,space,0.7573350000020582,171.24821409999277,None,None,None,ms_small,172.0306236000033,172.09470669997972,172.0306236000033,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.812,0.2,False,None,0,45,45,45,172.54551419999916,None,172.7280017999874,172.77786099998048,173.52789259998826,173.5772222999949,space,0.9011187999858521,173.52789259998826,None,174.44764319999376,None,174.44764319999376,174.51107519998914,space,0.7228322000009939,174.44764319999376,None,None,None,ms_small,175.19709370000055,175.26076439997996,175.19709370000055,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,1.024,0.3,False,None,0,46,46,46,175.7108223999967,None,175.99354149997816,176.04356499999994,177.01068969999324,177.06143549998524,space,0.7950382999842986,177.01068969999324,None,177.8303836999985,None,177.8303836999985,177.8938383999921,space,0.7826582999841776,177.8303836999985,None,None,None,ms_small,178.6447283999878,178.7101498999982,178.6447283999878,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.706,0.3,False,None,0,47,47,47,179.16016339999624,None,179.4429870999884,179.49333399999887,180.14340429997537,180.19392189997598,space,4.815003499999875,180.14340429997537,None,184.97872859999188,None,184.97872859999188,185.0425557999988,space,0.6988536000135355,184.97872859999188,None,None,None,ms_small,185.70772159998887,185.7590199999977,185.70772159998887,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.988,0.2,False,None,0,48,48,48,186.20893769999384,None,186.39211659997818,186.4421325000003,187.37522889999673,187.42489269998623,space,0.9704048999992665,187.37522889999673,None,188.37856849998934,None,188.37856849998934,188.44196679999004,space,0.968387700006133,188.37856849998934,None,None,None,ms_small,189.3776901999954,189.44161819998408,189.3776901999954,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.776,0.1,False,None,0,49,49,49,189.89150849997532,None,189.97440449998248,190.02489549998427,190.74146419999306,190.79329459997825,space,0.7578374999866355,190.74146419999306,None,191.52792939997744,None,191.52792939997744,191.5914793999982,space,0.7299420000053942,191.52792939997744,None,None,None,ms_small,192.2764438999875,192.34121029998641,192.2764438999875,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.988,0.1,False,None,0,50,50,50,192.79112899999018,None,192.87440919998335,192.92443779998575,193.85712309999508,193.90739680000115,space,0.683972900005756,193.85712309999508,None,194.56074019998778,None,194.56074019998778,194.62421989999712,space,0.7633166000014171,194.56074019998778,None,None,None,ms_small,195.34457009998732,195.40716519998387,195.34457009998732,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.706,0.3,False,None,0,51,51,51,195.8572893999808,None,196.14063660000102,196.19051019998733,196.84042399999453,196.89123209999525,space,0.6861191000207327,196.84042399999453,None,197.56007369997678,None,197.56007369997678,197.623717999988,space,0.48624820000259206,197.56007369997678,None,None,None,ms_small,198.07637139997678,198.14015920000384,198.07637139997678,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.953,0.2,False,None,0,52,52,52,198.59004260000074,None,198.77393419999862,198.83937299999525,199.72325359997922,199.77386999997543,space,0.7601619999913964,199.72325359997922,None,200.50970309998957,None,200.50970309998957,200.57321709999815,space,1.2129354000207968,200.50970309998957,None,None,None,ms_small,201.74183829998947,201.80611889998545,201.74183829998947,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.847,0.2,False,None,0,53,53,53,202.25557379997917,None,202.43925480000325,202.48923730000388,203.2894052999909,203.33977089999826,space,1.3474798999959603,203.2894052999909,None,204.65869129999192,None,204.65869129999192,204.72222349999356,space,0.584047800017288,204.65869129999192,None,None,None,ms_small,205.27482019999297,205.33888529997785,205.27482019999297,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.918,0.3,False,None,0,54,54,54,205.7886268000002,None,206.07204719999572,206.1220476999879,206.98862910000025,207.03895170000033,space,0.8178460999915842,206.98862910000025,None,207.82513349998044,None,207.82513349998044,207.8884689999977,space,0.8321996000013314,207.82513349998044,None,None,None,ms_small,208.69067319997703,208.75489079998806,208.69067319997703,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.741,0.1,False,None,0,55,55,55,209.20474249997642,None,209.2880200999789,209.33803620000253,210.0213554999791,210.07185419998132,space,0.9913241000031121,210.0213554999791,None,211.04113649998908,None,211.04113649998908,211.10453199999756,space,0.5970193000102881,211.04113649998908,None,None,None,ms_small,211.65682259999448,211.72128389999853,211.65682259999448,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.67,0.1,False,None,0,56,56,56,212.17097259999719,None,212.25433629998588,212.30449290000251,212.9207890999969,212.97135939999134,space,0.8976012000057381,212.9207890999969,None,213.84147719998145,None,213.84147719998145,213.9041317999945,space,0.6526279000099748,213.84147719998145,None,None,None,ms_small,214.52330159998382,214.5871788999939,214.52330159998382,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.776,0.2,False,None,0,57,57,57,215.03712659998564,None,215.22046439998667,215.27041909997934,215.98650030000135,216.03649139998015,space,0.7642505999829154,215.98650030000135,None,216.77352069999324,None,216.77352069999324,216.83690939997905,space,0.7974357999919448,216.77352069999324,None,None,None,ms_small,217.58961110000382,217.65317989999312,217.58961110000382,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
